,passenger_count,distance_miles,hour,year,weekday,night,late_night
6950,2,0.5939257952654505,17,2010,5,0,0
14492,1,0.5798460184668178,19,2012,0,1,0
7156,1,3.1592210812484613,9,2014,6,0,0
8545,1,4.186090680685565,12,2014,3,0,0
3154,1,0.9704535349628809,18,2013,2,1,0
6851,1,1.6098359010748136,21,2014,1,0,1
4583,1,0.3607689388161899,8,2009,3,0,0
5882,1,2.8950337562373156,3,2012,6,0,1
2670,1,1.1252657053747221,6,2009,2,0,1
254,1,2.868444130114686,12,2011,0,0,0
13160,2,2.8578086973126853,11,2009,5,0,0
10875,2,0.7283492646996782,19,2010,6,0,0
7317,1,3.5125378995823433,19,2011,1,1,0
8575,2,1.2152934969436098,12,2012,1,0,0
8091,1,0.823084677191748,13,2010,0,0,0
5048,1,0.5838598028352838,12,2009,0,0,0
13396,1,0.6686596601462402,2,2015,5,0,1
13943,2,2.030248054081542,16,2014,1,1,0
11537,2,1.9429128413252696,23,2010,4,0,1
9403,1,3.306466896703495,16,2013,4,1,0
177,2,1.9152699504721702,13,2011,2,0,0
7236,1,0.8121456234575223,23,2012,2,0,1
3279,3,2.185686540229592,13,2012,6,0,0
11833,1,0.9927211001915005,10,2015,5,0,0
9346,1,1.3321499660665799,14,2009,0,0,0
8808,1,2.1903575279016825,16,2009,1,1,0
13374,1,0.7600924576282869,23,2012,0,0,1
12804,3,4.2711442430870825,6,2015,4,0,1
8004,1,0.664971450443815,19,2011,1,1,0
782,1,0.19870446268519687,20,2014,0,1,1
13240,1,2.2972850465909684,19,2013,6,0,0
13623,2,0.3522061617752329,7,2009,3,0,0
6681,3,0.54952720690878,12,2014,0,0,0
3219,1,1.2677127224755254,10,2010,6,0,0
5837,1,0.9760726807790726,10,2012,4,0,0
1736,1,2.700435266709368,17,2013,5,0,0
9563,1,1.3758096934722692,3,2012,5,0,1
1720,1,0.6326453597118447,11,2014,4,0,0
14779,1,0.1998808417309963,22,2009,6,0,1
485,2,1.1067618191600492,21,2014,4,0,1
14966,2,0.6937433017066009,14,2009,6,0,0
2760,3,1.9234249432852906,0,2014,2,0,1
11377,1,1.7709195959143134,18,2011,1,1,0
12873,1,0.57473991950923,19,2014,1,1,0
461,1,0.249220681939028,10,2011,1,0,0
5579,2,0.7857769020461421,23,2009,5,0,1
10536,1,1.202315128437854,1,2011,2,0,1
5562,1,1.4146197046796594,21,2015,5,0,1
12340,1,3.1467979197038987,14,2011,0,0,0
12603,4,3.2505930679835227,18,2009,0,1,0
1231,1,0.8682571597103395,6,2010,1,0,1
1372,1,0.5683111793411066,14,2014,2,0,0
13351,1,7.2235819987754635,2,2013,6,0,1
5791,1,0.704359729008277,15,2012,4,0,0
12321,1,0.7253478094226069,11,2013,0,0,0
1740,1,0.4605102232577363,21,2014,6,0,1
12966,2,1.4727696178832408,20,2009,4,1,1
11677,1,4.5171206258829955,20,2009,3,1,1
13484,5,0.4866983088595057,9,2013,2,0,0
7358,5,1.5952639990780597,18,2011,4,1,0
491,1,1.3061732603080334,23,2012,0,0,1
4667,1,1.3178683566928566,21,2014,5,0,1
2065,2,0.6024853090004035,11,2013,1,0,0
933,1,3.5826753595323573,10,2009,5,0,0
6985,1,2.6769358666599334,21,2013,3,0,1
5537,5,2.1004155501333424,3,2011,2,0,1
923,1,2.659875708345908,14,2012,5,0,0
10431,1,6.412157611156385,0,2014,6,0,1
8016,1,1.1923894217744573,1,2015,5,0,1
12304,5,1.0770184285260822,15,2012,1,0,0
13146,1,2.960296395719277,18,2011,5,0,0
11947,1,1.002007795161162,8,2015,3,0,0
6961,1,3.440777716705875,21,2014,3,0,1
9139,2,2.762472258228789,15,2011,6,0,0
873,1,1.5542731318430467,7,2009,2,0,0
833,1,0.4409792070798492,21,2012,2,0,1
14193,1,1.0954975340917845,19,2009,1,1,0
2520,1,0.8791214752909735,16,2011,1,1,0
1655,5,2.7629744248836308,7,2011,0,0,0
11181,1,0.396285546290151,10,2013,2,0,0
3036,2,1.0735293285407033,11,2013,5,0,0
6424,1,0.4624080130969899,18,2015,3,1,0
4557,1,1.1247598976102746,23,2013,4,0,1
12379,2,1.5687998598594004,9,2015,1,0,0
2048,1,8.779793188943044,21,2010,3,0,1
12384,5,8.685265831339212,12,2011,2,0,0
7831,2,1.028056212372486,16,2010,6,0,0
2262,1,0.7181219103992905,10,2014,0,0,0
1745,2,1.4356354531886786,1,2010,6,0,1
12963,4,0.714982888186146,21,2014,2,0,1
9688,1,0.6354297510130967,15,2015,0,0,0
2496,1,0.9335185706423801,17,2009,5,0,0
5413,1,3.1354009874425826,6,2009,3,0,1
3928,1,1.843968674814324,9,2014,4,0,0
8477,1,0.7575688262362132,14,2011,3,0,0
1197,1,3.1751800094524314,23,2010,1,0,1
8623,1,0.6310505842777219,12,2012,3,0,0
11863,1,0.7714534694788492,12,2011,3,0,0
13593,1,1.6821607712561977,10,2011,0,0,0
10081,2,1.6845851634407414,23,2010,5,0,1
14644,1,2.044726387271074,19,2010,4,1,0
1286,1,2.1871362205074036,22,2014,5,0,1
2973,2,1.3305677991512026,21,2013,5,0,1
7683,1,1.6375899988139342,3,2010,6,0,1
1770,1,0.6426316566338839,19,2010,2,1,0
4423,1,1.023762541495576,1,2009,4,0,1
4395,1,3.7270181508700606,16,2015,5,0,0
13778,1,1.1857416432663275,20,2014,5,0,1
4878,2,0.782890455082474,22,2011,0,0,1
8452,5,1.2275124731741884,20,2011,4,1,1
5281,1,1.0614279143392358,8,2011,2,0,0
3452,1,0.2678106100847108,13,2011,0,0,0
1329,1,2.26957812469422,11,2009,6,0,0
7708,1,1.0222570213509963,21,2013,4,0,1
9704,1,4.323138875773256,1,2014,0,0,1
4816,1,1.8808784157822604,7,2011,4,0,0
6449,4,1.5517178925805801,19,2009,4,1,0
2282,1,1.2832989899729899,14,2011,5,0,0
6228,1,3.4384968705921244,7,2013,2,0,0
4230,1,0.48627245764116406,10,2012,4,0,0
8081,1,3.671853327637516,19,2012,6,0,0
5546,1,0.7112587284476379,3,2015,6,0,1
968,1,1.2730437876948735,16,2009,6,0,0
4979,1,2.7800876111431885,8,2013,6,0,0
6412,2,1.8606596790705376,14,2012,6,0,0
10434,1,1.0771068010207545,22,2012,6,0,1
6452,1,0.9111342866847186,13,2009,2,0,0
9249,1,1.951886106674666,9,2011,4,0,0
11937,1,0.9666580222770325,10,2010,0,0,0
1164,5,1.088140864179507,9,2009,0,0,0
5242,2,2.5931962637163886,19,2011,5,0,0
4403,1,0.6102368712420955,15,2011,5,0,0
1032,1,3.1459939518351465,9,2014,0,0,0
11235,2,2.1533989385238956,12,2010,5,0,0
1422,2,0.9742428816182321,18,2014,1,1,0
7590,1,0.5303588922272455,13,2013,4,0,0
727,1,2.660314947356905,18,2009,1,1,0
13981,3,3.306070662018912,4,2009,6,0,1
13715,1,0.44720567510178133,22,2012,5,0,1
10248,5,0.5823535446852829,10,2010,1,0,0
3746,1,1.1233706240138994,17,2014,0,1,0
7869,1,1.4115997789298782,8,2010,1,0,0
10856,1,1.4556222407814556,15,2011,4,0,0
13263,2,0.5303774285295614,22,2014,1,0,1
14655,6,2.5628467753040645,23,2014,5,0,1
14108,2,2.58725207998862,22,2012,1,0,1
9736,1,1.8763569400502769,9,2010,3,0,0
4325,1,2.1491397722509507,22,2013,6,0,1
10549,2,6.606210235641107,3,2011,5,0,1
11047,1,1.0225164479339413,0,2013,3,0,1
5328,1,0.5496541214124504,9,2010,4,0,0
14579,1,0.974967904884719,3,2014,5,0,1
5714,1,3.3689249867532687,17,2014,0,1,0
5103,1,2.045626078545595,10,2010,6,0,0
5300,1,0.928171593676718,8,2009,0,0,0
8113,1,1.7197672145548286,12,2011,1,0,0
2767,2,0.2371888530559678,0,2013,5,0,1
4051,1,1.8414245077999896,0,2009,6,0,1
13260,2,1.150177168911822,23,2009,1,0,1
276,5,3.0203609936667637,6,2010,2,0,1
9673,1,0.13392184795767598,21,2012,3,0,1
14355,1,0.6759456986180346,9,2015,1,0,0
12981,1,0.9043468777526975,9,2010,1,0,0
9615,5,1.0803589551790342,23,2011,1,0,1
1219,1,1.344274970451187,14,2014,6,0,0
12371,5,1.0639024483835222,19,2014,1,1,0
9579,1,1.8459208574045083,15,2010,1,0,0
5742,2,2.3619298827955064,15,2012,5,0,0
6911,1,1.2950456857613735,17,2012,3,1,0
4319,1,5.106455327049038,7,2015,1,0,0
6686,1,0.9545977774701224,11,2010,5,0,0
10127,1,2.899038231188258,4,2013,6,0,1
4956,1,0.9879518351044057,14,2015,4,0,0
4358,1,2.991732615031594,20,2013,5,0,1
3879,6,5.055065680707278,4,2014,6,0,1
14248,1,0.3468621030296498,7,2014,0,0,0
12214,1,0.30051820979998967,15,2013,0,0,0
13463,1,2.77834872708176,1,2012,4,0,1
13424,1,2.0677012058475177,17,2010,0,1,0
5950,1,0.6029473803468676,20,2010,2,1,1
12265,2,0.545947404379388,9,2015,2,0,0
12564,1,0.4210948626155295,14,2011,3,0,0
4186,2,0.32247433237481693,14,2011,3,0,0
3372,1,5.124909057482193,22,2012,6,0,1
8057,2,0.5002283857179138,17,2010,1,1,0
10490,1,0.32895142891036677,10,2013,4,0,0
5105,1,1.4171431576389926,18,2013,6,0,0
4656,1,1.5974976766812918,15,2009,1,0,0
1668,2,1.232089957253348,6,2015,5,0,1
6539,1,1.4315174851955377,10,2010,2,0,0
11469,1,0.9492433423563122,11,2014,6,0,0
11399,1,3.856749287685067,7,2010,3,0,0
7055,2,1.1124790493184047,14,2010,5,0,0
3962,5,2.021697967247265,19,2014,1,1,0
13527,1,1.9518146213206142,22,2009,3,0,1
6534,1,1.7306657875975164,18,2012,5,0,0
5616,1,4.247283302588401,10,2013,2,0,0
2076,2,0.9711531843666243,10,2010,6,0,0
5081,2,1.3796059190240988,3,2009,6,0,1
4291,1,11.001626853475056,15,2012,0,0,0
2781,1,0.8281171389942753,17,2009,3,1,0
4741,1,5.088896141675896,2,2014,3,0,1
12827,1,1.73362396840539,11,2012,2,0,0
11933,2,1.5919439677590426,22,2012,4,0,1
14676,5,0.7532713731284676,5,2010,2,0,1
11920,5,0.837407711051116,18,2015,6,0,0
3041,1,1.8654453596946212,12,2014,2,0,0
7604,1,1.7715733960508626,21,2013,1,0,1
11112,1,1.9889424392484616,7,2010,1,0,0
9572,1,3.0860296783619314,23,2010,3,0,1
11083,1,0.685813009642999,21,2009,2,0,1
8401,1,0.2995836099023724,9,2011,5,0,0
4509,2,0.808133830974266,15,2014,0,0,0
12527,1,1.9205211467165177,10,2013,3,0,0
9228,3,0.6899940121206602,9,2012,5,0,0
11348,1,0.768621682460667,21,2011,1,0,1
6871,1,1.382368304677601,13,2010,4,0,0
4392,1,1.5279877614469468,19,2012,1,1,0
14419,2,0.9922245662547301,13,2013,2,0,0
4500,1,1.182000082226585,19,2013,5,0,0
6878,1,2.538971801897372,13,2013,4,0,0
6863,1,0.9128058486351387,22,2011,0,0,1
11394,1,0.7839647619227379,3,2012,1,0,1
64,1,1.3616059542147725,10,2011,0,0,0
5357,1,1.3267077628207757,14,2012,2,0,0
3675,1,0.8099660746017152,14,2010,4,0,0
2908,1,1.4436664754244104,22,2011,0,0,1
911,1,0.6296744466327576,8,2009,2,0,0
4685,5,1.0508721711597075,4,2011,6,0,1
11522,1,1.1383572330618512,13,2010,1,0,0
11483,2,1.7126558361424764,21,2013,0,0,1
11983,1,1.737987545882709,20,2011,4,1,1
1653,1,3.8359229969547624,21,2010,2,0,1
3867,1,1.3785849295740888,12,2011,2,0,0
8230,2,0.9129249716020266,16,2015,3,1,0
2188,1,1.206082024831691,21,2010,1,0,1
13931,1,1.3093346339287464,17,2012,1,1,0
2758,1,1.3737171788232485,9,2013,2,0,0
14870,1,1.9555096707560353,18,2011,0,1,0
2163,1,0.8575099790893697,14,2010,1,0,0
4406,1,1.5314461101634178,20,2013,2,1,1
6829,1,0.8922962164296266,15,2009,2,0,0
13779,1,0.33487947532956186,8,2010,3,0,0
11597,5,0.9999810915880902,9,2015,3,0,0
4512,1,1.5775950058819332,11,2009,3,0,0
8847,1,0.05223244904296492,19,2014,0,1,0
5125,1,1.4015149061209542,22,2014,1,0,1
9343,1,0.4836579905915626,9,2011,2,0,0
6645,1,0.32361537486531233,8,2013,4,0,0
11196,2,0.7608173168840646,22,2010,3,0,1
13090,1,1.4036315455560275,20,2015,5,0,1
5402,1,0.8582812176184221,18,2010,2,1,0
14309,1,3.543054397029443,18,2015,0,1,0
7557,5,1.649520151575357,7,2010,0,0,0
862,1,0.510260978920025,14,2010,1,0,0
5083,5,0.7424951599558486,19,2015,5,0,0
10057,1,2.490032881053681,7,2010,3,0,0
1044,1,0.6582580158552894,21,2015,4,0,1
6695,1,1.1438229404471585,15,2013,2,0,0
14658,1,0.5733122972975517,15,2015,2,0,0
1972,1,1.7467418126453655,22,2015,1,0,1
14506,1,2.2721975195770745,6,2013,0,0,1
9190,2,1.8824887810343902,19,2015,0,1,0
4127,1,0.6519800675038065,15,2013,3,0,0
5152,1,1.4412229933224738,15,2013,0,0,0
13526,1,1.968692123928942,0,2013,4,0,1
2561,1,2.0144101102025704,18,2015,4,1,0
4596,2,1.2112564240153045,0,2009,5,0,1
7556,1,2.3187406689271017,22,2014,2,0,1
1761,1,2.273848448882452,12,2009,3,0,0
5910,1,0.41045355002462336,7,2010,1,0,0
642,2,1.046466219467467,19,2014,5,0,0
1795,1,0.4346676717693639,13,2011,1,0,0
1013,1,2.760557635778451,10,2010,5,0,0
1809,1,0.5782585736983621,13,2014,1,0,0
2672,1,1.4657340920426918,10,2011,3,0,0
5069,1,1.6799037673933084,15,2013,5,0,0
10782,1,0.994495155761069,9,2011,1,0,0
1436,3,0.9541301269007887,7,2013,0,0,0
11979,2,0.5292925430986568,18,2010,1,1,0
4508,1,4.354974082859923,12,2013,3,0,0
4621,2,0.9267806182298897,9,2015,6,0,0
5984,1,1.1196896473158593,14,2012,2,0,0
7386,4,0.7167207918905627,17,2011,5,0,0
10687,1,1.933669235928557,12,2009,4,0,0
6301,2,1.4183952466643117,10,2012,0,0,0
6604,1,1.8770434567458179,12,2010,3,0,0
6260,1,2.352413135378916,11,2013,0,0,0
14443,1,0.7461335190491675,14,2009,5,0,0
935,2,0.3015273091935891,23,2013,1,0,1
12419,2,1.2916374211454325,2,2011,5,0,1
13579,5,4.045781096956485,1,2010,3,0,1
10737,2,0.37073018942681546,20,2010,3,1,1
80,1,0.9779343074391338,16,2010,3,1,0
2909,5,1.7130169630080372,21,2013,0,0,1
11849,1,1.682532345927299,19,2009,5,0,0
12286,1,4.084901237608884,1,2014,6,0,1
8935,1,0.4610428581934322,0,2009,6,0,1
8868,1,0.41630658034313567,11,2012,1,0,0
9964,1,3.901354864387674,23,2010,4,0,1
729,1,1.5348612780815487,13,2011,0,0,0
4018,6,1.4622092303670942,17,2013,2,1,0
1829,2,2.0050497824113913,9,2012,0,0,0
5208,1,3.2559556415676383,23,2013,3,0,1
4986,2,0.639242916553242,13,2013,6,0,0
13295,1,0.5676250893238671,15,2010,1,0,0
9338,1,2.059517226558964,2,2010,5,0,1
267,1,5.799888771928488,13,2009,4,0,0
8954,1,0.7910086882340143,8,2011,4,0,0
10512,1,1.132669626142256,10,2015,4,0,0
13470,1,1.1265579200337459,12,2010,3,0,0
7405,1,2.654143136007575,17,2015,3,1,0
10829,2,1.1326152138175967,20,2014,2,1,1
8572,1,2.7379452531132644,22,2012,4,0,1
4401,2,0.9839931688004062,6,2011,1,0,1
7712,1,2.2396424083055866,4,2015,6,0,1
1070,1,1.331903920570071,22,2015,5,0,1
10475,3,1.200700600935124,18,2010,6,0,0
3937,4,1.1969902678674447,20,2013,6,0,1
14238,1,0.8877411079613913,22,2012,1,0,1
11878,1,1.3399100030670703,23,2013,5,0,1
6662,1,1.1505042721427368,12,2012,2,0,0
325,1,4.75701534804792,8,2011,0,0,0
2710,2,0.3930450158416274,19,2014,0,1,0
6790,1,0.5366509934000783,14,2010,0,0,0
5947,1,0.7398487441054493,12,2015,2,0,0
11049,2,0.8550688143125074,21,2009,6,0,1
2059,5,0.1514549606871034,3,2012,5,0,1
11246,1,0.6744597678185998,15,2014,0,0,0
14646,1,0.8717010586211646,8,2013,2,0,0
1851,2,0.5331443633228798,15,2012,1,0,0
13292,1,1.4694465586514638,11,2014,4,0,0
6831,1,2.894455886299663,17,2010,0,1,0
1537,5,0.9585058497636934,22,2014,4,0,1
14131,1,0.6734030512103848,6,2010,1,0,1
3142,1,1.1961275948629821,13,2013,2,0,0
13237,1,3.3847947586699303,10,2015,0,0,0
6279,1,0.24600483599003936,16,2009,4,1,0
8973,2,1.6959795135093605,12,2013,3,0,0
6488,3,1.0877490554400489,16,2009,0,1,0
2701,1,2.208766852230132,20,2013,4,1,1
10394,1,0.7090324411838044,18,2015,0,1,0
1510,4,0.9233606876406933,21,2011,3,0,1
2360,1,2.475808758842474,15,2015,4,0,0
14820,1,1.6059820284573785,20,2011,0,1,1
7733,1,0.7896208596641678,20,2014,2,1,1
4414,1,0.8672427353149066,23,2010,4,0,1
9793,1,0.6672449822062472,14,2009,4,0,0
7338,2,1.703788819810605,21,2012,4,0,1
14214,2,0.6972643971536843,15,2011,6,0,0
2333,1,2.1717333649593065,18,2010,3,1,0
13516,1,2.8043425529206623,2,2012,2,0,1
9463,1,1.6346107087101434,8,2012,1,0,0
11682,2,0.42550671923061506,17,2011,5,0,0
13863,1,1.7662143222899986,0,2015,2,0,1
5908,1,1.938567952253669,20,2015,6,0,1
4504,1,1.0083860273296466,18,2012,1,1,0
10377,1,1.4929296102543692,10,2009,4,0,0
11900,1,0.7524628905332313,23,2012,1,0,1
2381,1,0.8850042144275443,13,2015,1,0,0
7858,2,1.3541389067077203,18,2012,4,1,0
6287,1,1.1088636967075043,8,2014,5,0,0
11421,1,0.9595312176939234,2,2011,1,0,1
3389,5,0.5280928740599133,23,2011,4,0,1
5074,1,2.120363403226348,19,2010,4,1,0
1784,5,0.5570144263042439,17,2012,0,1,0
7839,5,1.9672398522153187,13,2014,3,0,0
13973,1,1.091359694944964,11,2015,0,0,0
4913,1,2.757302508253919,16,2010,2,1,0
7158,1,1.3980536756835813,19,2009,2,1,0
12396,1,0.8223167318199789,9,2010,1,0,0
8282,2,3.5984191505619645,18,2010,2,1,0
12242,3,1.5843743600101179,21,2010,3,0,1
10239,1,1.0094953738549424,7,2011,1,0,0
4843,2,0.7567066552987782,7,2014,0,0,0
8343,1,5.719608594507571,20,2014,6,0,1
10313,1,1.5240274012701838,12,2009,0,0,0
6179,1,0.8132481858891722,9,2011,0,0,0
11857,1,0.3502874562772059,19,2013,6,0,0
14991,1,0.6620546785864662,18,2013,6,0,0
6636,1,0.43403015463607,16,2010,5,0,0
6327,1,1.7258958126423167,23,2014,2,0,1
12902,1,0.8455696147007351,15,2015,5,0,0
4416,2,2.301157887300493,12,2010,2,0,0
13583,1,0.6205858734982578,5,2015,6,0,1
7877,1,1.176421849990556,7,2010,1,0,0
14833,1,0.9624840758286277,22,2009,3,0,1
12817,1,3.1926044567549328,14,2014,3,0,0
3277,1,0.5311847197254257,8,2015,1,0,0
7611,1,2.4093855117237974,0,2015,5,0,1
89,2,0.36654246515911787,14,2015,2,0,0
10227,1,0.8996846960668883,18,2010,6,0,0
2343,1,1.7606352679071136,14,2015,6,0,0
7227,6,0.9224731822152376,12,2013,2,0,0
13319,1,6.761032449714914,18,2012,0,1,0
9451,5,1.8337581002202241,10,2014,5,0,0
12960,5,3.274734031913948,8,2011,1,0,0
1765,1,1.5736851112848884,18,2015,5,0,0
10500,1,0.4934908254489023,9,2015,2,0,0
4566,1,1.532811719638356,20,2009,4,1,1
11943,1,0.8171558701153594,7,2010,2,0,0
2667,2,0.5249527738514276,23,2009,1,0,1
9066,1,2.864643632433761,11,2009,3,0,0
11569,1,1.580204563602216,17,2013,0,1,0
1606,1,1.4989568441798786,10,2014,5,0,0
1578,2,5.834523212727285,21,2013,6,0,1
6229,1,1.4790633310827916,14,2009,4,0,0
14497,1,0.46622571279355646,15,2012,6,0,0
3132,1,0.7466499803509042,8,2009,6,0,0
673,1,1.2663503933329419,6,2009,6,0,1
7323,6,0.7479039154609592,15,2012,5,0,0
712,1,1.1942829173658902,18,2014,5,0,0
14725,1,1.7049087341011941,8,2010,0,0,0
3350,1,1.403088636561158,15,2010,2,0,0
5487,1,3.2505489212651644,17,2014,1,1,0
418,2,1.711793704663416,8,2011,4,0,0
12574,1,3.643661145009438,5,2013,5,0,1
7728,1,0.061704512341652945,19,2009,1,1,0
1339,1,2.252084743664746,8,2009,4,0,0
6524,1,1.9022792108416569,0,2011,0,0,1
11304,1,3.076576844593362,13,2014,2,0,0
10719,1,7.098090707671873,12,2012,6,0,0
13156,1,2.1425226926461542,9,2012,3,0,0
5521,5,0.8346220255997275,22,2010,2,0,1
6380,2,2.134009125668072,7,2010,2,0,0
4854,1,1.0830536201052694,18,2015,5,0,0
4336,1,1.8379319380576917,3,2010,6,0,1
10439,1,0.5167897017854411,13,2015,3,0,0
13906,1,0.8984798257881421,19,2011,2,1,0
14700,1,2.6928532065350232,2,2014,6,0,1
453,1,1.1330184599654347,14,2011,3,0,0
9876,4,0.9289021210340921,18,2012,4,1,0
14092,1,0.7292832959455118,10,2010,4,0,0
6928,1,1.0557954893116972,19,2011,1,1,0
11111,3,1.381666184824297,21,2013,5,0,1
3111,2,0.6145141490511999,21,2009,3,0,1
6814,1,2.517617987053228,10,2010,3,0,0
7157,1,1.7990656241307401,10,2009,2,0,0
6420,1,0.8608971914061281,11,2010,3,0,0
6641,1,2.9457670911711173,22,2013,2,0,1
12165,1,2.3905780281375018,19,2014,2,1,0
14541,3,0.9302355027597412,14,2012,1,0,0
13022,1,1.8869518543880583,14,2014,2,0,0
1084,1,0.7564165702285794,15,2015,4,0,0
12243,1,0.7063943866003024,10,2011,0,0,0
9633,1,0.8716883141457592,20,2009,6,0,1
11892,1,0.9064531691966863,11,2009,1,0,0
3778,1,1.5553299526372955,19,2009,0,1,0
1381,1,2.31488173120819,15,2013,4,0,0
5409,1,1.2861330158453679,11,2010,2,0,0
11623,5,0.7412112640335158,15,2009,3,0,0
2286,5,1.0039714450213626,12,2013,4,0,0
633,1,0.5226298307213602,19,2013,0,1,0
6200,6,1.7833231859641383,22,2014,3,0,1
5597,1,1.6644489601882138,2,2009,1,0,1
14745,4,1.2521413225743365,23,2010,3,0,1
1065,2,1.025434888537073,8,2009,1,0,0
780,1,1.7039447299340642,23,2011,2,0,1
8998,1,1.0661815807647237,20,2013,0,1,1
9939,1,0.671348879254312,7,2015,3,0,0
10291,1,4.707846575973969,14,2013,5,0,0
3550,3,1.9648721121151953,19,2009,5,0,0
2571,5,0.4941953050347115,19,2014,3,1,0
2993,1,2.24815997294508,16,2014,1,1,0
6664,1,4.549602660501024,23,2013,4,0,1
8311,1,0.35639685167892804,13,2010,0,0,0
12125,1,4.852750615284544,17,2011,5,0,0
13496,1,0.2794622452971538,20,2011,5,0,1
7344,1,1.4864471085894362,8,2014,1,0,0
11067,2,1.6950177589336395,13,2010,5,0,0
13701,1,0.5771593218886275,16,2014,1,1,0
12001,1,0.8088582135000205,9,2012,0,0,0
4902,1,0.5520508667502018,10,2013,5,0,0
13169,1,0.6433398546168951,1,2010,6,0,1
1241,1,0.8799994464300311,21,2011,1,0,1
13458,4,0.5005675268421795,19,2010,0,1,0
13286,2,0.5736416482500362,21,2012,3,0,1
9284,2,0.6620530208903631,18,2011,4,1,0
5902,1,1.2770302736077443,21,2010,5,0,1
5518,2,0.9926595324359322,19,2015,5,0,0
2032,5,1.511915209938886,18,2014,0,1,0
2074,1,2.0153226599399354,18,2012,1,1,0
778,1,1.5911866148287195,8,2011,0,0,0
3880,1,3.5434308333101825,12,2015,5,0,0
12569,4,4.624565343422134,15,2010,1,0,0
730,1,0.632100814464188,16,2012,6,0,0
3273,1,2.8113143264727873,23,2012,2,0,1
14650,2,0.9813721547329665,9,2011,5,0,0
7453,2,0.8296027576660183,23,2014,4,0,1
3331,1,0.7436861656690387,7,2009,4,0,0
7868,1,1.1626172245955124,17,2009,4,1,0
13752,2,0.7334834732585702,11,2013,1,0,0
3852,1,0.9014415560958542,11,2011,5,0,0
8512,1,1.6444294819459817,15,2013,3,0,0
13612,1,0.977241809382457,7,2011,2,0,0
14181,1,2.6028045699092397,1,2014,5,0,1
364,1,1.638822689087545,9,2013,2,0,0
